task,name,idx
epiproj,epiproj_past,21
epiproj,epiproj_future,24
epiproj,epiproj,27
tomfalse,tomfalse,9
tompain,tompain,9
langlocaud,langlocaud,9
langlocvis,langlocvis,9
audviswm,audwm,36
audviswm,viswm,33
audviswm,vis-audwm,30
spatialwm,spatialwm,9
verbalwm,verbalwm,9
msit,msit,9
vmsit,vmsit,9
audvisattn,audattn,27
audvisattn,visattn,24
audvisattn,vis-aud,21
stroop,stroop,9
