subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS02,arithmetic,1,1,1,0.981366459627329,0.978260869565217,316,315
HUBS02,audvisattn,1,1,1,0.966542750929368,0.947955390334573,260,255
HUBS02,audviswm,1,1,1,0.978181818181818,0.974545454545454,269,268
HUBS02,epiproj,1,1,1,0.986984815618221,0.989154013015184,455,456
HUBS02,langlocaud,1,1,1,0.981132075471698,0.981132075471698,260,260
HUBS02,msit,1,1,1,0.979522184300341,0.972696245733788,287,285
HUBS02,spatialwm,1,1,1,0.982808022922636,0.979942693409742,343,342
HUBS02,tomfalse,1,1,1,0.975,0.979166666666667,234,235
HUBS02,tompain,1,1,1,0.979166666666667,0.979166666666667,235,235
HUBS02,verbalwm,1,1,1,0.978260869565217,0.981366459627329,315,316
HUBS02,vmsit,1,1,1,0.976109215017065,0.962457337883959,286,282
HUBS02,audvisattn,2,1,2,0.973977695167286,0.966542750929368,262,260
HUBS02,audviswm,2,1,2,0.978181818181818,0.967272727272727,269,266
HUBS02,audviswm,2,2,3,0.978181818181818,0.978181818181818,269,269
HUBS02,epiproj,2,1,2,0.986984815618221,0.989154013015184,455,456
HUBS02,langlocaud,2,1,2,0.977358490566038,0.981132075471698,259,260
HUBS02,msit,2,1,2,0.979522184300341,0.979522184300341,287,287
HUBS02,spatialwm,2,1,2,0.982808022922636,0.98567335243553,343,344
HUBS02,tomfalse,2,1,2,0.979166666666667,0.979166666666667,235,235
HUBS02,tompain,2,1,2,0.979166666666667,0.979166666666667,235,235
HUBS02,verbalwm,2,1,2,0.984472049689441,0.981366459627329,317,316
HUBS02,vmsit,2,1,2,0.979522184300341,0.982935153583618,287,288
HUBS02,arithmetic,3,1,2,0.981366459627329,0.981366459627329,316,316
HUBS02,audvisattn,3,1,3,0.970260223048327,0.966542750929368,261,260
HUBS02,audviswm,3,1,4,0.978181818181818,0.981818181818182,269,270
HUBS02,langlocaud,3,1,3,0.977358490566038,0.981132075471698,259,260
HUBS02,langlocvis,3,1,1,0.977358490566038,0.981132075471698,259,260
HUBS02,langlocvis,3,2,2,0.981132075471698,0.977358490566038,260,259
HUBS02,spatialwm,3,1,3,0.982808022922636,0.982808022922636,343,343
HUBS02,stroop,3,1,1,0.974910394265233,0.982078853046595,272,274
HUBS02,stroop,3,2,2,0.978494623655914,0.982078853046595,273,274
HUBS02,tomfalse,3,1,3,0.979166666666667,0.979166666666667,235,235
HUBS02,tompain,3,1,3,0.979166666666667,0.979166666666667,235,235
HUBS02,verbalwm,3,1,3,0.981366459627329,0.984472049689441,316,317
HUBS02,arithmetic,4,1,3,0.981366459627329,0.984472049689441,316,317
HUBS02,audvisattn,4,1,4,0.973977695167286,0.977695167286245,262,263
HUBS02,audviswm,4,1,5,0.974545454545454,0.981818181818182,268,270
HUBS02,epiproj,4,1,3,0.984815618221258,0.989154013015184,454,456
HUBS02,langlocaud,4,1,4,0.977358490566038,0.973584905660377,259,258
HUBS02,langlocvis,4,1,3,0.981132075471698,0.981132075471698,260,260
HUBS02,msit,4,1,3,0.979522184300341,0.982935153583618,287,288
HUBS02,spatialwm,4,1,4,0.982808022922636,0.977077363896848,343,341
HUBS02,stroop,4,1,3,0.982078853046595,0.982078853046595,274,274
HUBS02,tomfalse,4,1,4,0.975,0.975,234,234
HUBS02,vmsit,4,1,3,0.979522184300341,0.979522184300341,287,287
HUBS02,arithmetic,5,1,4,0.978260869565217,0.981366459627329,315,316
HUBS02,audvisattn,5,1,5,0.977695167286245,0.981412639405205,263,264
HUBS02,audvisattn,5,2,6,0.977695167286245,0.973977695167286,263,262
HUBS02,audviswm,5,1,6,0.978181818181818,0.978181818181818,269,269
HUBS02,audviswm,5,2,7,0.978181818181818,0.978181818181818,269,269
HUBS02,epiproj,5,1,4,0.986984815618221,0.980477223427332,455,452
HUBS02,langlocvis,5,1,4,0.977358490566038,0.981132075471698,259,260
HUBS02,msit,5,1,4,0.979522184300341,0.982935153583618,287,288
HUBS02,stroop,5,1,4,0.974910394265233,0.982078853046595,272,274
HUBS02,tompain,5,1,4,0.979166666666667,0.979166666666667,235,235
HUBS02,verbalwm,5,1,4,0.981366459627329,0.978260869565217,316,315
HUBS02,vmsit,5,1,4,0.979522184300341,0.979522184300341,287,287
HUBS02,arithmetic,6,1,5,0.978260869565217,0.984472049689441,315,317
HUBS02,audvisattn,6,1,7,0.977695167286245,0.981412639405205,263,264
HUBS02,audvisattn,6,2,8,0.97609561752988,0.960159362549801,245,241
HUBS02,audviswm,6,1,8,0.978181818181818,0.981818181818182,269,270
HUBS02,audviswm,6,2,9,0.978181818181818,0.981818181818182,269,270
HUBS02,epiproj,6,1,5,0.984815618221258,0.982646420824295,454,453
HUBS02,langlocaud,6,1,5,0.977358490566038,0.981132075471698,259,260
HUBS02,langlocvis,6,1,5,0.977358490566038,0.981132075471698,259,260
HUBS02,msit,6,1,5,0.979522184300341,0.979522184300341,287,287
HUBS02,spatialwm,6,1,5,0.982808022922636,0.982808022922636,343,343
HUBS02,stroop,6,1,5,0.978494623655914,0.982078853046595,273,274
HUBS02,verbalwm,6,1,5,0.978260869565217,0.981366459627329,315,316
HUBS02,vmsit,6,1,5,0.979522184300341,0.982935153583618,287,288
HUBS02,arithmetic,7,1,6,0.981366459627329,0.984472049689441,316,317
HUBS02,audvisattn,7,1,9,0.955390334572491,0.966542750929368,257,260
HUBS02,audvisattn,7,2,10,0.977695167286245,0.977695167286245,263,263
HUBS02,audviswm,7,1,10,0.978181818181818,0.981818181818182,269,270
HUBS02,audviswm,7,2,11,0.981818181818182,0.970909090909091,270,267
HUBS02,epiproj,7,1,6,0.989154013015184,0.989154013015184,456,456
HUBS02,langlocvis,7,1,6,0.977358490566038,0.981132075471698,259,260
HUBS02,msit,7,1,6,0.979522184300341,0.982935153583618,287,288
HUBS02,spatialwm,7,1,6,0.982808022922636,0.98567335243553,343,344
HUBS02,stroop,7,1,6,0.978494623655914,0.982078853046595,273,274
HUBS02,verbalwm,7,1,6,0.981366459627329,0.984472049689441,316,317
HUBS02,vmsit,7,1,6,0.979522184300341,0.982935153583618,287,288
HUBS02,arithmetic,8,1,7,0.981366459627329,0.984472049689441,316,317
HUBS02,audvisattn,8,1,11,0.977695167286245,0.981412639405205,263,264
HUBS02,audvisattn,8,2,12,0.977695167286245,0.962825278810409,263,259
HUBS02,audviswm,8,1,12,0.978181818181818,0.978181818181818,269,269
HUBS02,audviswm,8,2,13,0.981818181818182,0.981818181818182,270,270
HUBS02,langlocaud,8,1,6,0.981132075471698,0.973584905660377,260,258
HUBS02,langlocvis,8,1,7,0.977358490566038,0.981132075471698,259,260
HUBS02,msit,8,1,7,0.979522184300341,0.976109215017065,287,286
HUBS02,spatialwm,8,1,7,0.982808022922636,0.977077363896848,343,341
HUBS02,stroop,8,1,7,0.974910394265233,0.982078853046595,272,274
HUBS02,verbalwm,8,1,7,0.981366459627329,0.984472049689441,316,317
HUBS02,vmsit,8,1,7,0.979522184300341,0.982935153583618,287,288
HUBS02,arithmetic,9,1,8,0.981366459627329,0.981366459627329,316,316
HUBS02,audvisattn,9,1,13,0.973977695167286,0.981412639405205,262,264
HUBS02,audviswm,9,1,14,0.974545454545454,0.978181818181818,268,269
HUBS02,audviswm,9,2,15,0.978181818181818,0.96,269,264
HUBS02,langlocvis,9,1,8,0.977358490566038,0.981132075471698,259,260
HUBS02,msit,9,1,8,0.979522184300341,0.982935153583618,287,288
HUBS02,spatialwm,9,1,8,0.979942693409742,0.982808022922636,342,343
HUBS02,stroop,9,1,8,0.974910394265233,0.978494623655914,272,273
HUBS02,verbalwm,9,1,8,0.978260869565217,0.984472049689441,315,317
HUBS02,vmsit,9,1,8,0.979522184300341,0.982935153583618,287,288
