subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS07,rest,1,1,1,0.968468468468468,0.95045045045045,215,211
HUBS07,rest,1,2,2,0.972972972972973,0.954954954954955,216,212
HUBS07,rest,1,3,3,0.932432432432432,0.81981981981982,207,182
HUBS07,rest,2,1,4,0.972972972972973,0.968468468468468,216,215
HUBS07,rest,2,2,5,0.959459459459459,0.972972972972973,213,216
HUBS07,rest,2,3,6,0.972972972972973,0.977477477477477,216,217
HUBS07,rest,2,4,7,0.972972972972973,0.959459459459459,216,213
HUBS07,rest,3,1,8,0.972972972972973,0.977477477477477,216,217
HUBS07,rest,3,2,9,0.932432432432432,0.806306306306306,207,179
HUBS07,rest,3,3,10,0.959459459459459,0.90990990990991,213,202
HUBS07,rest,3,4,11,0.972972972972973,0.968468468468468,216,215
HUBS07,rest,4,1,12,0.972972972972973,0.963963963963964,216,214
HUBS07,rest,4,2,13,0.86036036036036,0.635135135135135,191,141
HUBS07,rest,4,3,14,0.954954954954955,0.855855855855856,212,190
HUBS07,rest,4,4,15,0.963963963963964,0.954954954954955,214,212
HUBS07,rest,5,1,16,0.972972972972973,0.968468468468468,216,215
HUBS07,rest,5,2,17,0.923423423423423,0.765765765765766,205,170
HUBS07,rest,5,3,18,0.945945945945946,0.756756756756757,210,168
HUBS07,rest,5,4,19,0.945945945945946,0.927927927927928,210,206
HUBS07,rest,6,1,20,0.945945945945946,0.927927927927928,210,206
HUBS07,rest,6,2,21,0.972972972972973,0.95045045045045,216,211
HUBS07,rest,6,3,22,0.855855855855856,0.806306306306306,190,179
HUBS07,rest,6,4,23,0.963963963963964,0.954954954954955,214,212
