subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS07,audvisattn,1,1,1,0.977695167286245,0.951672862453532,263,256
HUBS07,audviswm,1,1,1,0.96,0.949090909090909,264,261
HUBS07,epiproj,1,1,1,0.986984815618221,0.980477223427332,455,452
HUBS07,langlocaud,1,1,1,0.947169811320755,0.841509433962264,251,223
HUBS07,langlocvis,1,1,1,0.939622641509434,0.864150943396226,249,229
HUBS07,msit,1,1,1,0.959044368600683,0.883959044368601,281,259
HUBS07,tomfalse,1,1,1,0.970833333333333,0.904166666666667,233,217
HUBS07,verbalwm,1,1,1,0.894409937888199,0.720496894409938,288,232
HUBS07,vmsit,1,1,1,0.979522184300341,0.972696245733788,287,285
HUBS07,audvisattn,2,1,2,0.962825278810409,0.962825278810409,259,259
HUBS07,audviswm,2,1,2,0.978181818181818,0.978181818181818,269,269
HUBS07,epiproj,2,1,2,0.989154013015184,0.963123644251627,456,444
HUBS07,langlocaud,2,1,2,0.966037735849057,0.958490566037736,256,254
HUBS07,langlocvis,2,1,2,0.977358490566038,0.981132075471698,259,260
HUBS07,spatialwm,2,1,1,0.97134670487106,0.965616045845272,339,337
HUBS07,stroop,2,1,1,0.978494623655914,0.978494623655914,273,273
HUBS07,tomfalse,2,1,2,0.958333333333333,0.9375,230,225
HUBS07,tompain,2,1,1,0.975,0.958333333333333,234,230
HUBS07,vmsit,2,1,2,0.982935153583618,0.972696245733788,288,285
HUBS07,audvisattn,3,1,3,0.966542750929368,0.929368029739777,260,250
HUBS07,audviswm,3,1,3,0.981818181818182,0.970909090909091,270,267
HUBS07,epiproj,3,1,3,0.941431670281996,0.867678958785249,434,400
HUBS07,langlocaud,3,1,3,0.969811320754717,0.943396226415094,257,250
HUBS07,langlocvis,3,1,3,0.977358490566038,0.954716981132075,259,253
HUBS07,spatialwm,3,1,2,0.977077363896848,0.951289398280802,341,332
HUBS07,stroop,3,1,2,0.971326164874552,0.806451612903226,271,225
HUBS07,tomfalse,3,1,3,0.958333333333333,0.920833333333333,230,221
HUBS07,tompain,3,1,2,0.95,0.895833333333333,228,215
HUBS07,vmsit,3,1,3,0.979522184300341,0.907849829351536,287,266
HUBS07,audvisattn,4,1,4,0.95910780669145,0.899628252788104,258,242
HUBS07,audviswm,4,1,4,0.967272727272727,0.883636363636364,266,243
HUBS07,epiproj,4,1,4,0.96529284164859,0.893709327548807,445,412
HUBS07,langlocaud,4,1,4,0.833962264150943,0.705660377358491,221,187
HUBS07,langlocvis,4,1,4,0.973584905660377,0.833962264150943,258,221
HUBS07,msit,4,1,2,0.979522184300341,0.924914675767918,287,271
HUBS07,spatialwm,4,1,3,0.977077363896848,0.911174785100286,341,318
HUBS07,tomfalse,4,1,4,0.9625,0.954166666666667,231,229
HUBS07,tompain,4,1,3,0.9625,0.745833333333333,231,179
HUBS07,verbalwm,4,1,2,0.888198757763975,0.633540372670807,286,204
HUBS07,audvisattn,5,1,5,0.947955390334573,0.95910780669145,255,258
HUBS07,audviswm,5,1,5,0.941818181818182,0.810909090909091,259,223
HUBS07,epiproj,5,1,5,0.969631236442516,0.913232104121475,447,421
HUBS07,langlocaud,5,1,5,0.958490566037736,0.883018867924528,254,234
HUBS07,langlocvis,5,1,5,0.958490566037736,0.860377358490566,254,228
HUBS07,msit,5,1,3,0.918088737201365,0.856655290102389,269,251
HUBS07,spatialwm,5,1,4,0.982808022922636,0.848137535816619,343,296
HUBS07,stroop,5,1,3,0.974910394265233,0.956989247311828,272,267
HUBS07,verbalwm,5,1,3,0.937888198757764,0.773291925465838,302,249
HUBS07,audvisattn,6,1,6,0.9182156133829,0.855018587360595,247,230
HUBS07,audviswm,6,1,6,0.92,0.876363636363636,253,241
HUBS07,epiproj,6,1,6,0.958785249457701,0.841648590021692,442,388
HUBS07,langlocaud,6,1,6,0.875471698113208,0.758490566037736,232,201
HUBS07,langlocvis,6,1,6,0.622641509433962,0.569811320754717,165,151
HUBS07,msit,6,1,4,0.972696245733788,0.955631399317406,285,280
HUBS07,stroop,6,1,4,0.89247311827957,0.835125448028674,249,233
HUBS07,tompain,6,1,4,0.975,0.883333333333333,234,212
HUBS07,verbalwm,6,1,4,0.944099378881988,0.829192546583851,304,267
HUBS07,vmsit,6,1,4,0.9419795221843,0.924914675767918,276,271
