subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS10,rest,1,1,1,0.972972972972973,0.977477477477477,216,217
HUBS10,rest,1,2,2,0.977477477477477,0.977477477477477,217,217
HUBS10,rest,1,3,3,0.977477477477477,0.968468468468468,217,215
HUBS10,rest,1,4,4,0.977477477477477,0.968468468468468,217,215
HUBS10,rest,2,1,5,0.918918918918919,0.936936936936937,204,208
HUBS10,rest,2,2,6,0.977477477477477,0.977477477477477,217,217
HUBS10,rest,2,3,7,0.945945945945946,0.869369369369369,210,193
HUBS10,rest,2,4,8,0.972972972972973,0.977477477477477,216,217
HUBS10,rest,3,1,9,0.954954954954955,0.963963963963964,212,214
HUBS10,rest,3,2,10,0.90990990990991,0.90990990990991,202,202
HUBS10,rest,3,3,11,0.941441441441441,0.914414414414414,209,203
HUBS10,rest,3,4,12,0.878378378378378,0.891891891891892,195,198
HUBS10,rest,4,1,13,0.977477477477477,0.95045045045045,217,211
HUBS10,rest,4,2,14,0.954954954954955,0.878378378378378,212,195
HUBS10,rest,4,3,15,0.959459459459459,0.887387387387387,213,197
HUBS10,rest,4,4,16,0.954954954954955,0.846846846846847,212,188
HUBS10,rest,5,1,17,0.977477477477477,0.972972972972973,217,216
HUBS10,rest,5,2,18,0.932432432432432,0.95045045045045,207,211
HUBS10,rest,5,3,19,0.936936936936937,0.945945945945946,208,210
HUBS10,rest,5,4,20,0.959459459459459,0.963963963963964,213,214
HUBS10,rest,6,1,21,0.945945945945946,0.918918918918919,210,204
HUBS10,rest,6,2,22,0.95045045045045,0.932432432432432,211,207
HUBS10,rest,6,3,23,0.95045045045045,0.936936936936937,211,208
HUBS10,rest,6,4,24,0.963963963963964,0.963963963963964,214,214
