subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS03,rest,1,1,1,0.959459459459459,0.954954954954955,213,212
HUBS03,rest,1,2,2,0.972972972972973,0.977477477477477,216,217
HUBS03,rest,1,3,3,0.95045045045045,0.945945945945946,211,210
HUBS03,rest,2,1,4,0.972972972972973,0.977477477477477,216,217
HUBS03,rest,2,2,5,0.977477477477477,0.972972972972973,217,216
HUBS03,rest,2,3,6,0.945945945945946,0.932432432432432,210,207
HUBS03,rest,3,1,7,0.968468468468468,0.936936936936937,215,208
HUBS03,rest,3,2,8,0.968468468468468,0.927927927927928,215,206
HUBS03,rest,3,3,9,0.945945945945946,0.927927927927928,210,206
HUBS03,rest,3,4,10,0.963963963963964,0.963963963963964,214,214
HUBS03,rest,4,1,11,0.972972972972973,0.905405405405405,216,201
HUBS03,rest,4,2,12,0.972972972972973,0.977477477477477,216,217
HUBS03,rest,4,3,13,0.954954954954955,0.954954954954955,212,212
HUBS03,rest,4,4,14,0.972972972972973,0.968468468468468,216,215
HUBS03,rest,5,1,15,0.972972972972973,0.963963963963964,216,214
HUBS03,rest,5,2,16,0.968468468468468,0.936936936936937,215,208
HUBS03,rest,5,3,17,0.972972972972973,0.959459459459459,216,213
HUBS03,rest,5,4,18,0.972972972972973,0.972972972972973,216,216
HUBS03,rest,6,1,19,0.95045045045045,0.869369369369369,211,193
HUBS03,rest,6,2,20,0.972972972972973,0.941441441441441,216,209
HUBS03,rest,6,3,21,0.869369369369369,0.815315315315315,193,181
