subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS09,rest,1,1,1,0.914414414414414,0.801801801801802,203,178
HUBS09,rest,1,2,2,0.963963963963964,0.900900900900901,214,200
HUBS09,rest,1,3,3,0.977477477477477,0.95045045045045,217,211
HUBS09,rest,1,4,4,0.968468468468468,0.923423423423423,215,205
HUBS09,rest,2,1,5,0.941441441441441,0.936936936936937,209,208
HUBS09,rest,2,2,6,0.963963963963964,0.887387387387387,214,197
HUBS09,rest,2,3,7,0.977477477477477,0.905405405405405,217,201
HUBS09,rest,2,4,8,0.923423423423423,0.918918918918919,205,204
HUBS09,rest,3,1,9,0.95045045045045,0.851351351351351,211,189
HUBS09,rest,3,2,10,0.968468468468468,0.905405405405405,215,201
HUBS09,rest,3,3,11,0.977477477477477,0.927927927927928,217,206
HUBS09,rest,3,4,12,0.977477477477477,0.968468468468468,217,215
HUBS09,rest,4,1,13,0.972972972972973,0.977477477477477,216,217
HUBS09,rest,4,2,14,0.972972972972973,0.936936936936937,216,208
HUBS09,rest,4,3,15,0.968468468468468,0.959459459459459,215,213
HUBS09,rest,4,4,16,0.864864864864865,0.833333333333333,192,185
HUBS09,rest,5,1,17,0.972972972972973,0.977477477477477,216,217
HUBS09,rest,5,2,18,0.977477477477477,0.864864864864865,217,192
HUBS09,rest,5,3,19,0.927927927927928,0.869369369369369,206,193
HUBS09,rest,5,4,20,0.968468468468468,0.887387387387387,215,197
HUBS09,rest,6,1,21,0.972972972972973,0.968468468468468,216,215
HUBS09,rest,6,2,22,0.977477477477477,0.707207207207207,217,157
HUBS09,rest,6,3,23,0.977477477477477,0.959459459459459,217,213
HUBS09,rest,6,4,24,0.977477477477477,0.963963963963964,217,214
