subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS01,rest,1,1,1,0.968468468468468,0.959459459459459,215,213
HUBS01,rest,1,2,2,0.941441441441441,0.95045045045045,209,211
HUBS01,rest,1,3,3,0.954954954954955,0.959459459459459,212,213
HUBS01,rest,1,4,4,0.959459459459459,0.945945945945946,213,210
HUBS01,rest,2,1,5,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,2,2,6,0.968468468468468,0.945945945945946,215,210
HUBS01,rest,2,3,7,0.932432432432432,0.779279279279279,207,173
HUBS01,rest,2,4,8,0.972972972972973,0.963963963963964,216,214
HUBS01,rest,3,1,9,0.968468468468468,0.977477477477477,215,217
HUBS01,rest,3,2,10,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,3,3,11,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,3,4,12,0.977477477477477,0.977477477477477,217,217
HUBS01,rest,3,5,13,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,4,1,14,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,4,2,15,0.972972972972973,0.972972972972973,216,216
HUBS01,rest,4,3,16,0.977477477477477,0.977477477477477,217,217
HUBS01,rest,4,4,17,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,4,5,18,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,5,1,19,0.977477477477477,0.977477477477477,217,217
HUBS01,rest,5,2,20,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,5,3,21,0.968468468468468,0.968468468468468,215,215
HUBS01,rest,5,4,22,0.972972972972973,0.963963963963964,216,214
HUBS01,rest,6,1,23,0.968468468468468,0.972972972972973,215,216
HUBS01,rest,6,2,24,0.972972972972973,0.972972972972973,216,216
HUBS01,rest,6,3,25,0.968468468468468,0.977477477477477,215,217
HUBS01,rest,7,1,26,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,7,2,27,0.963963963963964,0.968468468468468,214,215
HUBS01,rest,8,1,28,0.972972972972973,0.954954954954955,216,212
HUBS01,rest,8,2,29,0.954954954954955,0.837837837837838,212,186
HUBS01,rest,8,3,30,0.972972972972973,0.977477477477477,216,217
HUBS01,rest,9,1,31,0.959459459459459,0.936936936936937,213,208
HUBS01,rest,9,2,32,0.968468468468468,0.968468468468468,215,215
HUBS01,rest,9,3,33,0.972972972972973,0.977477477477477,216,217
