subject,task_name,ses,run,overall_run,pct_frames_fFD,pct_frames_FD,num_frames_fFD,num_frames_FD
HUBS05,rest,1,1,1,0.972972972972973,0.977477477477477,216,217
HUBS05,rest,1,2,2,0.963963963963964,0.95045045045045,214,211
HUBS05,rest,1,3,3,0.972972972972973,0.882882882882883,216,196
HUBS05,rest,2,1,4,0.968468468468468,0.977477477477477,215,217
HUBS05,rest,2,2,5,0.972972972972973,0.977477477477477,216,217
HUBS05,rest,2,3,6,0.959459459459459,0.954954954954955,213,212
HUBS05,rest,2,4,7,0.977477477477477,0.954954954954955,217,212
HUBS05,rest,3,1,8,0.972972972972973,0.977477477477477,216,217
HUBS05,rest,3,2,9,0.972972972972973,0.959459459459459,216,213
HUBS05,rest,3,3,10,0.972972972972973,0.977477477477477,216,217
HUBS05,rest,3,4,11,0.968468468468468,0.954954954954955,215,212
HUBS05,rest,4,1,12,0.972972972972973,0.977477477477477,216,217
HUBS05,rest,4,2,13,0.972972972972973,0.972972972972973,216,216
HUBS05,rest,4,3,14,0.905405405405405,0.716216216216216,201,159
HUBS05,rest,5,1,15,0.972972972972973,0.977477477477477,216,217
HUBS05,rest,5,2,16,0.972972972972973,0.968468468468468,216,215
HUBS05,rest,5,3,17,0.972972972972973,0.977477477477477,216,217
HUBS05,rest,6,1,18,0.977477477477477,0.977477477477477,217,217
HUBS05,rest,6,2,19,0.977477477477477,0.963963963963964,217,214
HUBS05,rest,6,3,20,0.972972972972973,0.968468468468468,216,215
HUBS05,rest,6,4,21,0.972972972972973,0.918918918918919,216,204
